Filename	Length	Lossless/Perceptual audio	Channel layout	Genuine bit depth	Lossless format
Galapagos.E001.S01E01.2006.09.26.Born.Of.Fire.2160p25.SiLVER70.DD5.1.AV1-LiGHTSPEED	00:49:14	Perceptual	5.1		
Galapagos.E002.S01E02.2006.10.03.Islands.That.Changed.The.World.2160p25.SiLVER70.DD5.1.AV1-LiGHTSPEED	00:49:08	Perceptual	5.1		
Galapagos.E003.S01E03.2006.10.10.Forces.Of.Change.2160p25.SiLVER70.DD5.1.AV1-LiGHTSPEED	00:49:00	Perceptual	5.1		
Galavant.E001.S01E01.2015.01.04.Pilot.2160p23.SiLVER70.DD+5.1.AV1-LiGHTSPEED	00:21:32	Perceptual	5.1		
Galavant.E002.S01E02.2015.01.04.Joust.Friends.2160p23.SiLVER70.DD+5.1.AV1-LiGHTSPEED	00:21:30	Perceptual	5.1		
Galavant.E003.S01E03.2015.01.11.Two.Balls.2160p23.SiLVER70.DD+5.1.AV1-LiGHTSPEED	00:21:29	Perceptual	5.1		
Galavant.E004.S01E04.2015.01.11.Comedy.Gold.2160p23.SiLVER70.DD+5.1.AV1-LiGHTSPEED	00:21:29	Perceptual	5.1		
Galavant.E005.S01E05.2015.01.18.Completely.Mad.Alena.2160p23.SiLVER70.DD+5.1.AV1-LiGHTSPEED	00:21:25	Perceptual	5.1		
Galavant.E006.S01E06.2015.01.18.Dungeons.And.Dragon.Lady.2160p23.SiLVER70.DD+5.1.AV1-LiGHTSPEED	00:21:32	Perceptual	5.1		
Galavant.E007.S01E07.2015.01.25.My.Cousin.Izzy.2160p23.SiLVER70.DD+5.1.AV1-LiGHTSPEED	00:21:34	Perceptual	5.1		
Galavant.E008.S01E08.2015.01.25.It's.All.In.The.Executions.2160p23.SiLVER70.DD+5.1.AV1-LiGHTSPEED	00:21:18	Perceptual	5.1		
Galavant.E009.S02E01.2016.01.03.A.New.Season.2160p23.SiLVER70.DD+5.1.AV1-LiGHTSPEED	00:21:32	Perceptual	5.1		
Galavant.E010.S02E02.2016.01.03.World's.Best.Kiss.2160p23.SiLVER70.DD+5.1.AV1-LiGHTSPEED	00:21:30	Perceptual	5.1		
Galavant.E011.S02E03.2016.01.10.Aw.Hell.The.King.2160p23.SiLVER70.DD+5.1.AV1-LiGHTSPEED	00:21:30	Perceptual	5.1		
Galavant.E012.S02E04.2016.01.10.Bewitched.Bothered.And.Belittled.2160p23.SiLVER70.DD+5.1.AV1-LiGHTSPEED	00:21:32	Perceptual	5.1		
Galavant.E013.S02E05.2016.01.17.Giants.Versus.Dwarves.2160p23.SiLVER70.DD+5.1.AV1-LiGHTSPEED	00:21:26	Perceptual	5.1		
Galavant.E014.S02E06.2016.01.17.About.Last.Knight.2160p23.SiLVER70.DD+5.1.AV1-LiGHTSPEED	00:21:30	Perceptual	5.1		
Galavant.E015.S02E07.2016.01.24.Love.And.Death.2160p23.SiLVER70.DD+5.1.AV1-LiGHTSPEED	00:21:25	Perceptual	5.1		
Galavant.E016.S02E08.2016.01.24.Do.The.DDEW.2160p23.SiLVER70.DD+5.1.AV1-LiGHTSPEED	00:21:23	Perceptual	5.1		
Galavant.E017.S02E09.2016.01.31.Battle.Of.The.Three.Armies.2160p23.SiLVER70.DD+5.1.AV1-LiGHTSPEED	00:21:19	Perceptual	5.1		
Galavant.E018.S02E10.2016.01.31.The.One.True.King.2160p23.SiLVER70.DD+5.1.AV1-LiGHTSPEED	00:21:32	Perceptual	5.1		
Firefly.S01E01.US.BLURAY.SPECIAL.EDITION.1080p23.FLAC5.1.AVC-LiGHTSPEED	01:16:07	Lossless	5.1	24-bit data	24-bit/48kHz
Firefly.S01E02.US.BLURAY.SPECIAL.EDITION.1080p23.FLAC5.1.AVC-LiGHTSPEED	00:47:39	Lossless	5.1	24-bit data	24-bit/48kHz
Firefly.S01E03.US.BLURAY.SPECIAL.EDITION.1080p23.FLAC5.1.AVC-LiGHTSPEED	00:40:15	Lossless | Lossless	5.1 | 5.1	24-bit data | 16-bit (padded)	24-bit/48kHz | 16-bit/48kHz
Firefly.S01E04.US.BLURAY.SPECIAL.EDITION.1080p23.FLAC5.1.AVC-LiGHTSPEED	00:40:47	Lossless	5.1	24-bit data	24-bit/48kHz
